,Unnamed: 0,frame_number,x_angle,y_angle,z_angle,product 0,product 1,product 2,product 3,product 4,product 5,product 6,seconds
30,30,718,-6.114052,-12.179886,0.194939,41724.62691660565,43518.03543598713,61539.968861578665,57615.053148549734,73582.68503986018,84995.88902186598,83593.22262926759,23.933333333333334
31,31,719,-7.377007000000001,-13.06543,-0.470947,40775.78976047184,43758.39532590846,62721.12267467513,56710.734163037996,73650.06270494791,83783.52755330478,83105.94289353647,23.966666666666665
32,32,720,-7.639732,-12.802826,-1.4536129999999998,40905.614549536534,44098.906707649934,63191.61363575659,57125.522953186286,74209.32468488751,84249.75753605374,83657.53376336992,24.0
33,33,721,-7.650055,-12.99791,-1.7030869999999998,40768.02386322144,43986.01811304218,63109.6508474458,56870.335761985705,73984.72481368242,83941.34529199713,83382.83022104173,24.033333333333335
34,34,722,-9.168655,-11.418625,-2.222305,41738.36053839966,46124.43105343709,65932.40832021287,59433.919614508915,77332.1728947069,86783.68510614125,86697.1048161739,24.066666666666666
35,35,723,-9.027527,-10.769112,-2.111366,42283.701835517284,46488.71410657831,66118.34694213561,60280.395020116914,78005.00644551014,87802.67271137715,87556.64223618267,24.1
36,36,724,-8.987152,-11.45961,-2.032089,41721.59490085377,45958.639890653205,65668.98142314302,59320.08099348111,77109.39758980474,86676.95751650052,86513.22941739901,24.133333333333333
37,37,725,-9.137177,-10.302475,-2.554733,42674.63736697502,46925.56661084499,66543.93535339473,60963.808103281066,78695.60040780464,88586.53856022017,88323.23020869873,24.166666666666668
38,38,726,-9.386353,-10.213516,-2.378342,42734.099129828384,47182.85907116969,66928.68242632567,61168.21458095409,79043.06738539094,88787.97250541765,88624.68110525963,24.2
39,39,727,-9.794029,-11.451538,-1.972733,41674.844460693064,46586.017987580504,66747.14182788625,59600.32266820152,77891.15698410744,86878.12610086409,87081.94884030889,24.233333333333334
40,40,728,-10.239388,-11.705872,-2.290741,41464.459615793225,46768.48018761612,67204.88542083443,59417.86459722416,78014.02043814317,86581.7629436904,87026.73474435956,24.266666666666666
41,41,729,-10.19194,-13.416672,-2.176041,40232.776869849265,45664.402260567294,66282.68491979309,57145.15288109264,75936.58507263,83852.88886594553,84545.29382605858,24.3
